阿凡达,2010,135000
让子弹飞,2010,66470
唐山大地震,2010,64775
非诚勿扰2,2010,47350
盗梦空间,2010,45714
狄仁杰之通天帝国,2010,29550
爱丽丝梦游仙境,2010,22380
哈利·波特与死亡圣器(上),2010,22110
叶问2 宗师传奇,2010,21955
敢死队,2010,21306
赵氏孤儿,2010,19630
钢铁侠2,2010,17270
诸神之战,2010,16710
波斯王子：时之刃,2010,16100
大笑江湖,2010,15895
大兵小将,2010,15380
山楂树之恋,2010,14413
生化危机4,2010,14320
锦衣卫,2010,14200
精武风云·陈真,2010,13668
越光宝盒,2010,12880
全城热恋,2010,12750
喜羊羊与灰太狼2,2010,12470
杜拉拉升职记,2010,12453
枪王之王,2010,12350
玩具总动员3,2010,11090
孔子,2010,9950
危情谍战,2010,9090
怪物史莱克4,2010,8875
全城戒备,2010,8800
驯龙高手,2010,8490
大侦探福尔摩斯,2010,7380
危情时速,2010,6752
剑雨,2010,6600
邻家特工,2010,6410
西风烈,2010,6340
魔法师的学徒,2010,6122
花田囍事2010,2010,5800
未来警察,2010,5790
恋爱通告,2010,5455
唐伯虎点秋香2,2010,5400
苏乞儿,2010,5390
阿黛拉的非凡冒险,2010,5250
华尔街2,2010,4983
线人,2010,4952
决战刹马镇,2010,4740
功夫梦,2010,4700
谍海风云,2010,4600
罗宾汉,2010,4500
人在囧途,2010,3690
美丽密令,2010,3620
唐吉可德,2010,3552
七十二家租客,2010,3310
午夜心跳,2010,3125
猫头鹰王国,2010,3080
最后的风之子,2010,2991
东风雨,2010,2932
神火之盗,2010,2910
龙凤店,2010,2883
嘻游记,2010,2770
荒村公寓,2010,2360
七小罗汉,2010,2310
密室之不可告人,2010,2109
深海探奇,2010,2070
异度公寓,2010,1910
月满轩尼诗,2010,1670
无人驾驶,2010,1620
长江七号爱地球,2010,1620
我的野蛮女友2,2010,1570
火龙对决,2010,1550
岁月神偷,2010,1530
夺命手机,2010,1500
完美嫁衣,2010,1460
绝命岛,2010,1420
特工强档,2010,1420
李小龙 我的兄弟,2010,1374
海洋天堂,2010,1340
塔拉星球之战,2010,1335
爱出色,2010,1300
叶问前传,2010,1270
孤堡惊情,2010,1250
80’后,2010,1200
天地逃生,2010,1150
黑猫警长,2010,1130
我的美女老板,2010,1090
翡翠明珠,2010,960
亚瑟和他的迷你王国3,2010,850
新康定情歌,2010,839
鼠来宝：明星俱乐部,2010,830
举起手来2,2010,828
名侦探柯南,2010,815
等着你回来,2010,810
查理曼帝国的密码,2010,792
特工的特别任务,2010,790
K20变相黑侠,2010,760
三笑之才子佳人,2010,740
大玩家,2010,740
黑色闪电,2010,740
超蛙战士之初露锋芒,2010,730
出水芙蓉,2010,710
火线特攻,2010,700
不要回头,2010,700
一路有你,2010,680
爱情维修站,2010,670
古墓迷途,2010,670
功夫咏春,2010,590
决战豪门,2010,560
虎王归来,2010,557
舞出我人生2,2010,532
爱情36计,2010,480
跟我的前妻谈恋爱,2010,470
高度怀疑,2010,460
摇摆de婚约,2010,450
亚瑟和他的迷你王国2,2010,445
活该你单身,2010,440
庐山恋2010,2010,427
恋人絮语,2010,410
铠甲勇士之帝皇侠,2010,340
地牢围攻,2010,340
悍将双雄,2010,340
前度,2010,335
绑架冰激凌,2010,255
终极匹配,2010,250
孤胆拯救,2010,240
芳心终结者,2010,205
志明与春娇,2010,185
矮仔多情,2010,177
香奈儿秘密情史,2010,175
大劫难,2010,166
虹猫蓝兔火凤凰,2010,150
生死逃亡,2010,148
日照重庆,2010,130
异空危情,2010,120
感染列岛,2010,88
精舞门2,2010,80
西游新传,2010,72
老虎都要嫁,2010,60
北纬31度录像带,2010,60
变形金刚3,2011,109520
功夫熊猫2,2011,61085
金陵十三钗,2011,59230
龙门飞甲,2011,54055
加勒比海盗4,2011,46670
哈利波特与死亡圣器(下),2011,41305
建党伟业,2011,41196
失恋33天,2011,35165
特种部队2：眼镜蛇的逆袭,2011,33429
蓝精灵,2011,25985
速度与激情5,2011,25770
洛杉矶之战,2011,22413
窃听风云2,2011,21730
新少林寺,2011,21030
白蛇传说,2011,20340
猩球崛起,2011,20320
将爱情进行到底,2011,20280
武林外传,2011,18310
画壁,2011,18096
武侠,2011,17515
最强囍事2011,2011,16440
关云长,2011,15897
鸿门宴,2011,15290
喜羊羊与灰太狼3,2011,14820
铁甲钢拳,2011,14320
致命伴旅,2011,14160
倩女幽魂,2011,14155
里约大冒险,2011,13845
丁丁历险记：独角兽的秘密,2011,13225
白鹿原,2011,12975
创战纪,2011,12840
纳尼亚传奇3,2011,12650
夺命深渊,2011,11895
关键第四号,2011,11435
亲密敌人,2011,11039
财神客栈,2011,10377
雷神,2011,9815
单身男女,2011,9615
美国队长,2011,9615
孤岛惊魂,2011,9000
杨善洲,2011,8025
东成西就2011,2011,7885
赛车总动员2,2011,7875
惊天战神,2011,7779
战国,2011,7765
绿灯侠,2011,7300
源代码,2011,7190
观音山,2011,6930
全球热恋,2011,6730
我知女人心,2011,6690
飞天,2011,6420
狂暴飞车,2011,6320
辛亥革命,2011,6228
最爱,2011,5760
天际浩劫,2011,5725
永无止境,2011,5025
神奇侠侣,2011,4970
大武生,2011,4920
美少女特攻队,2011,4775
熊猫总动员,2011,4540
赛尔号,2011,4345
倾城之泪,2011,4240
女巫季节,2011,3892
驱魔者,2011,3800
杨门女将之军令如山,2011,3750
雪花秘扇,2011,3555
洛克王国！圣龙骑士,2011,3340
幸福额度,2011,3335
寻龙夺宝,2011,3225
假装情侣,2011,3195
赤焰战场,2011,3180
宇宙英雄之超银河传说,2011,3115
暮光之城4：破晓,2011,3075
柯南2011：沉默的15分钟,2011,3060
战略特勤组,2011,2985
五月天追梦3DNA,2011,2802
海洋,2011,2740
我爱HK 开心万岁,2011,2720
车在囧途,2011,2695
危情三日,2011,2335
硬汉2奉陪到底,2011,2315
B+侦探,2011,2300
整编特工,2011,2290
极速天使,2011,2265
不再让你孤单,2011,2260
无价之宝,2011,2235
刀见笑,2011,2200
巴黎宝贝,2011,2195
深海之战,2011,2140
终极快递,2011,2120
开心魔法,2011,2035
魔法奇幻秀,2011,1810
郭明义,2011,1805
深度谜案,2011,1805
摩尔庄园冰世纪,2011,1790
守望者：罪恶迷途,2011,1765
影子爱人,2011,1760
夺命心跳,2011,1625
兔侠传奇,2011,1620
星空,2011,1610
梦宅诡影,2011,1580
密室之不可靠岸,2011,1560
激战运钞车,2011,1535
丛林有情狼,2011,1465
床下有人,2011,1405
B区32号,2011,1395
隐婚男女,2011,1385
超能游戏者,2011,1375
三傻大闹宝莱坞,2011,1310
紫宅,2011,1280
肩上蝶,2011,1260
孤胆特工,2011,1200
爱到底,2011,1155
梦游3D,2011,1025
大人物,2011,1015
醉后一夜,2011,990
致命请柬,2011,990
精英部队：大敌当前,2011,990
回马枪,2011,895
双重身份,2011,890
李献计历险记,2011,870
迷踪：第九鹰团,2011,865
夜惊魂,2011,825
迷途追凶,2011,820
不明身份,2011,770
无极限之危情速递,2011,745
玩命狙击,2011,710
男得有爱,2011,690
戒烟不戒酒,2011,690
一夜未了情,2011,680
钢的琴,2011,655
与时尚同居,2011,630
午夜凶梦,2011,620
翻滚吧！阿信,2011,600
奇袭60阵地,2011,550
奋斗,2011,545
我们约会吧,2011,510
水落石出,2011,495
夏日乐悠悠,2011,495
追爱,2011,480
像小强一样活着,2011,474
宅男总动员,2011,467
转山,2011,460
遍地狼烟,2011,455
万有引力,2011,430
巨额交易,2011,420
恋爱恐慌症,2011,410
黄沙武士,2011,410
爱封了,2011,386
房不剩防,2011,370
挪威的森林,2011,365
热浪球爱战,2011,330
疾速行动,2011,330
秋之白华,2011,325
蛋炒饭,2011,310
魁拔,2011,305
再吻我一次,2011,305
恐龙宝贝,2011,300
无底洞,2011,300
老夫子之小水虎传奇,2011,300
黑暗终结者,2011,295
歼十出击,2011,280
倩女幽魂87版,2011,280
跟踪孔令学,2011,277
劳拉的星星在中国,2011,255
敏感事件,2011,220
囧探佳人,2011,195
嘿·店,2011,180
幸福卡片,2011,170
蔡李佛-极限拳速,2011,160
左利军,2011,160
岁岁清明,2011,155
藏獒多吉,2011,135
光棍终结者,2011,120
芳香之城传奇,2011,120
鸡排英雄,2011,120
闯堂兔,2011,110
堵车,2011,110
侠盗石川,2011,110
2012来了,2011,110
西柏坡,2011,97
英雄喋血,2011,95
新月魅影,2011,95
双人床条约,2011,95
少年岳飞传奇,2011,90
湘江北去,2011,75
钢琴木马,2011,73
竞雄女侠秋瑾,2011,70
非常营救,2011,65
惊沙,2011,65
蔡李佛拳,2011,65
你是哪里人,2011,60
一路惊心,2011,45
失控,2011,40
云下的日子,2011,40
大太阳,2011,35
极速先锋,2011,30
无界之地,2011,25
正·青春,2011,20
完美的爱,2011,20
人再囧途之泰囧,2012,126473
泰坦尼克号3D,2012,97712
十二生肖,2012,87991
画皮2,2012,72649
碟中谍4,2012,64883
复仇者联盟,2012,57595
少年派的奇幻漂流,2012,57095
黑衣人3,2012,52092
冰川时代4：大陆漂移,2012,45830
地心历险记2：神秘岛,2012,37144
一九四二,2012,37050
蝙蝠侠前传3：黑暗骑士崛起,2012,35115
敢死队2,2012,33590
超凡蜘蛛侠,2012,32044
超级战舰,2012,31824
异星战场,2012,26250
寒战,2012,25218
听风者,2012,24272
普罗米修斯,2012,22437
谍影重重4,2012,21947
马达加斯加3,2012,21490
四大名捕,2012,19760
大侦探福尔摩斯2,2012,18503
饥饿游戏,2012,18170
搜索,2012,17675
大魔术师,2012,17186
诸神之怒,2012,16588
消失的子弹,2012,16075
喜羊羊与灰太狼之开心闯龙年,2012,16331
大海啸之鲨口逃生,2012,15885
黄金大劫案,2012,15652
太极1：从零开始,2012,14700
大上海,2012,14928
2012 3D,2012,13647
爱,2012,13400
环形使者,2012,12928
逆战,2012,13006
太极2英雄崛起,2012,12180
战马,2012,11847
飓风营救2,2012,11642
全面回忆,2012,11670
二次曝光,2012,10785
铜雀台,2012,10295
痞子英雄之全面开战,2012,9150
机械师,2012,9250
八星抱喜,2012,7970
我愿意,2012,8298
河东狮吼2,2012,7072
王的盛宴,2012,7695
我爱灰太狼,2012,7300
那些年，我们一起追的女孩,2012,7500
春娇与志明,2012,7270
血滴子,2012,7172
桃姐,2012,7014
晚秋,2012,6686
无敌破坏王,2012,6362
笔仙,2012,6100
危险关系,2012,6230
灵魂战车2：复仇时刻,2012,5885
在劫难逃,2012,5325
新天生一对,2012,4974
大追捕,2012,4878
快乐的大脚2,2012,5333
大闹天宫3D,2012,4950
麦兜当当伴我心,2012,4915
HOLD住爱,2012,4660
绣花鞋,2012,4504
饭局也疯狂,2012,4328
王者之剑3D,2012,4400
白雪公主之魔镜魔镜,2012,4653
三个火枪手,2012,4358
人狼大战,2012,3945
神奇海盗团,2012,4145
大武当之天地密码,2012,3660
第一次,2012,3800
太空一号,2012,3600
玩命追踪,2012,3156
赛尔号2：雷伊与迈尔斯,2012,3330
边境风云,2012,3041
铁血精英,2012,3213
守护者联盟,2012,2850
车手,2012,2978
男人如衣服,2012,3112
勇敢传说,2012,2855
非常小特务4,2012,2747
夺命金,2012,2535
匹夫,2012,2651
