,大概广电局也不知道该从哪里剪
,可能期望值的原因，并没有看得特别的雀跃，但不得不佩服诺兰游走于商业成分和自我标志如此得心应手。影片中所有好莱坞擅长的一切：视觉、动作、情感虽然都很熟悉，但也都非常饱满。而故事的核心虽然不是第一次涉猎，也被挖掘得足够充分。在可预期的未来，诺兰必将是这个世纪好莱坞引领类型的翘楚。
,你永远记不起一个梦的开端，就像记不起我们如何来到这个世界上。
,你醒着吗？你现在还相信你是醒着吗？你应该想想自己是在第几层梦里面，然后想办法逃脱。
,2010年在美国电影院看的，没有中文字幕，没怎么看懂，觉得整个电影都是梦。2017年又看了一遍有中文字幕的，看懂了99%，原来我被诺兰耍了。
,牛逼！
,潜意识中的我所创造的世界远比现实要强大很多，既然如此，为何要在现实中做一个碌碌无为的平凡人呢，大家都去睡觉吧，梦里我们神通广大
,莱昂纳多老了。
,"好吧，这的确是一枚合金弹头
8.28又去电影院刷了一遍Imax.还不过瘾还想再去看"
,不一样的世界！
,诺兰无法提供新的思想或者人性的发现，他的电影基本上是把新瓶装旧酒玩到极致。
,要刷好几遍才能看懂的烧脑电影，我们的梦境到底是什么样？也许以后会有可以记录梦境的机器，那样肯定是带给我们无限的灵感。
,quite confusing~
,我刚发现如果把片中的那首法文歌放慢听，特么的就是一开始的原声音乐！！！那个慢慢的，诡异的咣咣声！！
,牛逼
,缺少强大反派，套招用完就完。
,也许是理念比较熟悉，相对有些失望
,那19.3%四星的和2.9%三星的豆子们你们应该改成五星啊！
,可能我智商不够，有点看不懂，太烧脑了。
,女人要永远，男人要真相。
,还不错。只是个人的审美体系里，5星电影不能仅仅是个通关游戏，所以只能给到4星了。
,没看完~泪奔~
,戒指或许是破解剧情的最佳提示...
,三环相扣坠醒时间卡点，四层入梦深陷意识深渊，如梦如醒，似真似幻，层次分明的逻辑融入庄周梦蝶的悬念，紧张感如同一根抵着刀口越绷越紧的弦，耐人寻味又颇具震撼。各方面都很好，就差了承认一句借鉴盗梦侦探。
,仁者见仁的电影 可能期望太高 所以看了以后没有那种震撼
,诺兰，你真牛
,主演都好帅 但是第一遍没有看懂 最后没有分清到底是梦境还是现实 所以又看了几遍 值得多看几遍
,我真不是技术控
,烧脑片，但是人物感情处理得好低级。
,转还是停..
,电影很精彩 没有想象的难懂 总会有一个让你记一辈子的镜头
,应该可以更好的。
,画面满是天马行空的想象力。词穷，反正就是牛逼！神作！9.2（厦门影院）
,结尾没交代清楚比较纠结
,没看到开头，一大遗憾....
,休息日自己跑到影院看哒！那失重太有感啦！现在看完回来再去看看剧透，有种预感还会再看一遍
,电影本来就是造梦机器。一部伟大的神作。但总觉得特效还可以再绚烂一些。
,那晚做的梦很奇特
,最后的旋转到底停下来了没有？
,独特而又全新的科幻视角探索了人脑对于梦境的神秘诠释
,我的陀螺再也停不下来了。
,剧情不错，设定不错，总算是为我至少半年来都只能对着波斯王子之类片子的剧情吐吐槽的日子划下了休止符……不过也没“优秀”到“完美”的地步吧？我觉得动漫里这种设定和剧情很常见啊……另，不理解为啥有人说看不懂。又，绝不是我的错觉！雪山那个碉堡（医院？）的外墙上出现了CCTV字样！
,after all that sick propaganda 
,没媒体口中的那么难懂吧..看来一切只为吸引眼球罢了..
,我能说我智商不够看这种电影吗？看不懂怪我咯
,在我看来这片子只有一种结局 不剧透 首先剧本很好懂 有一个很不错的设定 反而凸显剧情的单薄 其次 我严重认为芝麻配乐脱节和全片氛围不搭 最后给与四星 还不得不提的是主角团队有个男人太性感了!Smoking HOT!出场时穿的花衬衫特有魅力~
,无可否认，诺兰是个天才，他会有卡梅隆的成就
,哇 Marion Cotillard 。哇 ellen page
,"omg,需要多看好几遍了"
,我也许是最后一小拨看完盗梦的人~只能说诺兰绝对牛逼，不拍续集对得起谁啊！
,一开始的三个场景转换可能会看的云里雾里。但是渐入佳境后就环环相扣，顺便解答开场。没有马丁的莱昂拉多依然保持他的演技派。Joseph太有爱了，伊默斯抗起他的榴弹发射器说，亲爱的，既然是做梦那就来个大点的。 没有停下的陀螺，万一我们的生活真的是一场梦。
,"曾经因为一个人在封邮件里提过“梦中梦”，而执意不去看这部电影。时过境迁以后，想起要看这部电影时已经没有任何感觉。
看之前期望过高，好像没有特别难理解，关于几何空间始终不懂。"
,凑合
,给力哈
,最後一幕究竟是現實還是夢境……
,结局都很欢乐。都得到了自己想要的东西。包括那位阔少爷~
,看起拽瞌睡
,走进思维深处的混沌无意识
,LEO 穿西装的时候给人非常绅士的感觉
,有意思
,剧情不错
,颠覆正常思维
,非常喜欢
,一个信念，影响着人内心深处。。媒体？社会？环境？
,还不错的电影。。。喜欢
,制作上算大手笔。
,超好看啊！ 
,深奥
,到底哪个是真实的，我也不清楚。亦真亦幻的也挺有意思。
,关于梦。看了多遍都不觉得腻
,高智商
,会迷失在梦境的第几层？
,"很喜欢  看过以后有些后怕  虽然猜到结局了~
"
,需要带着脑子看的电影 和ex一起
,另外一个想象空间
,超喜欢的一部电影
,去电影院看，值回两倍票价
,诺兰给我们编织的又一个噩梦。
,环环紧扣。
,内容很刺激，但也很发人深省，如果意识可以被植入，人性的黑暗面将会发挥得骇人听闻
,周公也解不了的梦。
,"诺兰再一次成功的卖弄了他的技巧。。
"
,也就是立体交错的剧情而已，结尾和开头可以连起来做无限循环。。。
,值得重看
,六星成么
,好
,梦与现实。
,这群人的行为动机未免装逼又生硬
,盗梦，像一根镶着铂金丝的晾衣绳串起的一堆老旧褪色的过季衣服。卖点停留在细薄的概念层级，反复提醒你存在一层层梦的嵌套。等身临其境之后却发现，这些梦境实景远没有预期的神秘奇幻或者视觉震撼，只不过是一些早已见怪不怪的好莱坞现实主义动作俗套的组合，而展示得又远不及勇闯夺命岛那般精彩刺激。
,成功的商业范例，仅此而已。ellen page的戏做得欠了点
,艾伦佩吉脑残粉。
,我居然一直以为我看过只是印象不深……才想起来高一班上放这片的晚上我跑出去喝酒了……
,《盗梦空间》以其复杂多变的剧情结构与故事内容，以及惊心动魄的动作场面与视觉奇观作为制胜关键。面对影片整体如此无与伦比的震撼效果，除了令到观众发出惊叹之外别无他言。
,小费舍醒了以后就完全不记得他们了吗？另：后来被音乐炸到要崩溃了。
,"大烂片,不过演员和场面真的不错"
,做一个落后于时代的人，嘿嘿~
,1，一秒钟都不浪费，非常紧凑，故事讲得一清二楚。2，用Edith Piaf的那首歌，是想提醒观众玛丽昂·歌迪亚饰演的梅尔的存在吗？她也是对这个计划影响最大的人。3，失重那一段是我的最爱。
,在看完这部电影之后，我觉得心里有许多的感觉说不出来。
,amazing!对于梦境始终都很迷恋的我在这个电影里找到Nostalgia的感觉。到目前为止是我最喜欢的电影！！Leonardo， my favourite actor ever!
,little idea thats all
,你在等一趟火车 ，它会把你带去远方 ，你知道自己想去哪里 ，但不确定火车开向哪里 .但是没关系 ，这是为什么呢 ，因为我们会在一起 。
,热门老电影重映之前记得删光自己曾经的短评。
,最近比较好的了
,2010.9.19许昌奥斯卡
,你在我旁边 
,这才是电影。
,完全符合逻辑的一个梦
,看不太懂，果然不太适合看这种片子
,fuck！没想到第五刷让我彻彻底底爱上了这一部！剪辑用镜和节奏堪称水乳交融！主题的若虚若实也与星际穿越完成了镜像转换，个人前十可期！
,剧情很紧凑，以我的智商看不懂。
,"阿瑟~~阿瑟~~~~~~~
我也被人植入想法，变脆弱了%&gt;_&lt;%"
江苏,印象最深的一段话就是，想法就像病毒，顽强无比，感染性极强，再细微的念头也会生根发芽，它能塑造你，也能毁灭你。很震撼的电影，不止是视觉，而是关于念头，关于梦境与现实，或许我们以为梦不是现实，但有时候自欺欺人的念头何尝不是梦境般困住我们，束缚我们的念头，让自己分不清现实与虚幻。活在当下，无论梦多美好都要记住面对现实，才是真实存在的。
,我想我可以醒来。
,進入你的世界。不願意醒來。
,电影虽然是华纳兄弟资助的，但它仍然是一部诺兰风格的电影。诺兰写了剧本，导演了电影。富有想象力的想法渗透在他写的对话和他设定的情节里，这是一部思想家的电影。
,逻辑严密，场面自然没的说，关键是漂亮的黑色故事。上一次我为了他的黑暗之神特意飞了香港，这次为了他放弃了海港城的购物之旅，蛮值得。
,其实我想吐槽的是：为啥里面的人在做梦的时候都非要用常规武器不可|||明明想得出榴弹炮，就不能来个大火球龙召唤术什么的吗！
,诺兰也成为了宣传比电影本身漂亮的导演
,至于解构、诺兰就不必多说了，他成在细节上，众多的经典镜头注定使得此片名垂影史。这会是里程碑式的电影，如果在技术上的里程碑片子是阿凡达的话，本片我敢说是类型电影的里程碑。将会和低俗小说一样载入史册。
,要看明白，还是得借助攻略……必须要说，Cillian Murphy作为这部戏的花瓶太对味了！~Marion演小李的亡妻演出风格来了呀——阴魂不散。
,20100918 ❤ 陪你看的XD 
,"看得我感冒了~~~动作场面蹩脚,态度形式做作.也无碍于其尿性的姿态!各种彩蛋,疑问!绝对怀疑主义,相对主义,悖论,虚无主义,经验主义,解构主义,梦的解析..............（原来我当时这么激动~~）@大庆万达影城IMAX"
,【哈-中央万达】他为电影而生，他会被载入史册，他就是个传奇！！！  他是诺兰…（这片真是太TM精彩了）
,幸好温习了Nolan之前的作品，完全看懂了~
,过誉了 看一遍理解完全无障碍 但各方面都算是优秀作品 但如果对盗梦或植入没有一个完整的系统的解释（比如潘多拉的世界）那离经典可还远着呢
,烧脑 不聚精会神的看根本看不懂。不过好喜欢这种片子哈哈
,一遍懂啊  没说的那么深  但是给的感觉就是在做梦一样   我喜欢page
,一个轴心的运转需要什么作为平衡呢。没有人会了解自身的潜意识动机，或者说没有人真正了解自己。
,诺兰的水准之作。
,佩服逻辑之强。2010我的最佳之一。
,看了两遍，几乎掌握了所有的细节。别的就不多说了，其最让我欣慰的是作为一部反映梦境的片子几乎摒弃了所有和符号有关的东西，大好！
,如果这是梦，我愿长醉不愿醒
,卡梅隆与诺兰，可以打5分了。电影确实很精彩
,小李叔一级棒··还有囧瑟夫··刚开始听人说这难看懂那难揣摩的···其实没说的那么深不可测
,啊~~这类片子我抵抗无能……
,"诺兰这个名字就值五颗星，果然是神！
中文译名很有问题！"
,梦中梦中梦中梦。。。
,超级好看，编剧这脑洞也是没谁了
,达到期待值；叙事上比不上prestige花巧精致，但诺兰能把一个理论上复杂的故事说得如此简洁明晰，是他最大的本事；批评这片梦境不够超现实我觉得是牛头不对马嘴
,跟不上，有点乱了我
,相爱的人会有一个不倒的陀螺。
,"自从有了盗梦空间，整个电影界的格局又焕然一新了
"
,Inception他更多关心的是世界观完整，人物塑造和真实感的视觉呈现，三者结合后，你会忘记所有的技术细节疑问，或者说这电影根本不承载回答类似“分享梦的机器原理怎样”这样的问题。诺兰证明了电影未来的一个重要方向，就是想象力和电影技术结合的极限将被反复突破，Inception绝对是
,无与伦比
,"动作版的野草莓，看的时候老想起博尔赫斯，或者列子。

要说缺点，就是风车比较傻，让人想起无极的馒头。"
,"重点是有Marion,Marion,Marion！！！配角控不淡定了。。。"
,怪不得人都说工作时不能感情用事~建筑系同学应该会很爱吧╮(╯▽╰)╭
,大脑研究和意念知识的初次大银幕展示
,Nolan&#39;s first true masterpiece
,今天又看了一遍，之前看只是对梦里那个新奇的世界感兴趣，天马行空让人神往，这一次看看懂了Leo和mal的纠结，一层一层梦境的嵌套。最后，我还是更愿意相信Leo回到了现实
,好看。虽然情节让我想起了筱原千绘还是谁的一部古早漫画的情节。。。
,诺兰难以置信的自我超跃。
,应该可以负责任地说，这是我真正开始看电影以来，第一部让我从头到尾没有空闲去联想其他事物的电影。好吧，除了同导演的Memento之外。
,关于图腾 那个色子应该是因为它独特的重心和重量 当然要是在设计过的梦里点数应该是伪随机的 就是会周期重复 但是如果周期设计的很长 真没有时间去用随机数验证是否在梦境 跟人家陀螺比差太多了不是
,好看
,有点烧脑，死了不少脑细胞。所以最后到底出来了吗😂😂😂
,没有那么。。。好。。。吧。
,看了 不懂 上豆瓣 再看分析 终于懂了。。 实在是经典啊。
,导演真阴险啊！！！
,Ellenpage
,梦里分不清身是客..
,牛逼！！！！
,很有创意！近几年少有的大作
,本以為是多層夢境交織的複雜科幻心理驚悚劇，其實是新世代好萊塢電玩動作片。電影花太多時間在解釋劇情，讓前半段顯得囉唆且停滯。後半段又放太多無聊動作設計，高潮的潛意識自剖也已經是過於老套，雷也不算是雷了。除了幾幕演員動人的表情，感覺故事說得很累又缺乏神采，不知所謂為何。
,看完了盗梦空间有两大发现：1.小李长大了，成熟了，当她说“I jump”他不jump了。2.CCTV在第三空间给大家造梦，然后被帝国主义盗贼炸了。
,nb。
,盗梦侦探更早一点
,除了画面，剧情给的启示感及带来的沉思，也足够赞！
,"语录：
人太多就没法思考。
万事皆有可能，只是很难成功。"
,结局只有一个
,当然它是伟大的电影，可是对个科幻迷来讲，震憾远不象第一次看philp k.d写记忆植入来得震撼。有莱在，就忍不住希望可以在悲怆点，呵
,4.5
,很幸运它提早上映了让我有幸一看。p.s：我原本以为那对正太萝丽永远只有背影的，没想到导演很给面子地让我一睹正面。果然没有让我失望，甚至比我yy的更萌。
,"林奇,他们都在死命追着你,即便一切都是徒劳,,"
,"So , you still in the dream."
,我爱约瑟夫·高登·莱维特。这片子太给力了！！！！！！！
,"SO cool
创意无限，人物众多且都描写到，演员个个表演到位，展力十足，戏剧性很强，感情线索虽多胆条条分明，爱情父子伙伴之情有感动到我，细节显功力，没有明显硬伤"
,nolan没有任何新东西
,相當不錯啊 這部片子  2個多小時 我一直没有放松過
,没评价的评价
,神作。
,值得也需要看第二遍的
,速看影评
,像这种牛B大电影，靠三两句短评是没法撑得起的啦。
,电影院看了两遍
,"诺兰 and  迪卡普里奥.,,,,,还能说啥呢··"
,开放式的结局啊~~
,转啊转啊转啊转
,"因为太精彩，所以看得我想睡觉！很多事情你完全想不起它是怎么开始的，因为它其实是一个梦。梦都是没有开始的。
"
,my mind was blown out
,可能好多没接触过这种题材的人第一遍会看不懂！梦与梦相互交叉！哪个是现实而哪个又是梦境呢！最后结局看了好几遍都不知到底是现实还是梦境！
,今天终于有时间去把想了18天的这部电影看了，我喜欢里面的各种老男人！
,看懂了90%
,trick
,睡觉会不会越睡越累？
,剧本结构并没有杰出至使人咂舌的地步，甚至在精妙性上，尚不如诺兰自己的《记忆碎片》，但其仍不失为一部很不错的商业影片。它的成功绝非来自剧本的勾合累砌，而主要出自对“梦境”体裁的尝试性探索。常人在面对不可知论时，都会自生出敬畏，遂而赋予其神圣感——这是该片评分极高的主要原因。
,这片子太牛了，创意和剧情都几乎无可挑剔，估计要看了第二遍才能完全理解。
,现在一点不想看诺兰
,dream in your dream
,fantastic
,一直紧绷着神经！
,我睡着了，在电影院里……
,诺兰肯定很爱三明治，从《追随》到《盗梦空间》都是一层层哈哈~
,标签上居然有哲学，无奈了。
,第五遍看，有点失望。曾经的我一度倾倒于它诡谲动人又精致缜密的奇崛级想象力与幕幕难以复刻的奇观筑现，不计其数地对它那磐根错节的烧脑剧情与深藏不露的细节触点进行剖析描摹，一次次深入其中探究层层深入却无限蔓延的潜意世界，只愿享受一场两个半小时的梦境迷途之旅，只期待结尾那一刻的诧然惊醒。今天的我面对大银幕，早已没有了初次观看时对所有情节逻辑的顾虑与担忧，然而我眼前呈现的只是一部在浮于表象的精巧概念下通过灌注商业式的追车枪战爆炸片段来推进剧情的毫无深度的科幻商业片，一部以极其普通的调度能力慌乱地承载动作场面、无力地表现视觉奇观的平庸动作电影（尤其指酒店失重打斗那段）。最大的优点或许就是汉斯季默的配乐，在电子合成器与传统乐器的结合下紧凑与磅礴并存的瑰丽听觉感受无比契合这场险象环生却终将回醒的电影之梦
,打三星及以下的都脑子进水了吧。是说你们装逼装得深沉。还是说你们智商太低看不懂。这绝对是我在影院看过最牛掰的片。完秒阿凡达。整个观影过程就是Perfect。唯一的怨念是最后收太快。两个多小时看得心跳加速。一下子就慢下来了。该有个过渡吧。下面是HC时间：艾伦和玛丽昂好美！约瑟夫好帅！
,看了《致命魔术》后……
,细节的处理和结构近乎完美，NOLAN 难道以后的剧本你可都写个八年？
,很费脑子的片子 很新颖的方式 
,再次证明了先进的科技足以破坏人们的生活，而未知的东西恰恰是人们最想了解的。
,从电影院出来后  跟 靖哥哥 一起大叹“‘真值！”
,最成功的小众电影，粉丝众多
,    一个字 . 震撼
,还是很喜欢的。我爱梦。
,相当相当佩服编剧的想象力，导演的执行力，演员的表演力，赞爆了！！！
,什么东西你看多了都会有新的感悟，所以，别告诉我，你看几遍之后懂了，故作悬疑的目的就是，让你永远有点那么不明白，才会更爱Ta
,叙事架构好。。
,真的好看。我觉得最后totem停了。
,挺好的电影，第一次看有些眼花缭乱，电影结构设计新颖独特，情节很紧凑，演员很出色。
,你有梦想吗？你记得你的梦吗？你相信你的梦不是真实的吗？你还敢做梦吗？
,每个人的心其实都蕴含着极大的能力，能创造，能主宰。我们能创造梦境，在梦境中我们是无所不能。然，梦境果真虚幻不实么，你又可知梦境不是另一个世界的真实，而我们所谓的真实，其实是另一个世界的梦境？
,看了两遍 才懂
,太费劲了。
,最后肯定是现实
,我其实没有看懂。。。。。。。。。！！！！但感觉是部好片。。
,梦中梦
,最后的陀螺到底停止了没有
,哎 原谅我的智商有限 看了两次都没有看懂
,表面题材新颖
,现实中的陀螺永远不会停
,电影院看的，效果很好。电影构思挺奇妙的。
,这尼玛不就是我的梦吗？
,这部片子带我走进诺兰，真是相见恨晚
,我好想也做过两层的梦境
,完美。看了两遍。
,脑筋大爆炸！
,只能用NB来形容
,大神啊，请盗我入梦吧！
,诺兰的片得看
,真的比诺兰以前拍的东西容易懂点儿..
,电影画面效果美呆了！！！最后的悬念真的是经典！！！
,哇 哦
,编剧的脑子太牛逼了
,结局无与伦比的完美. 请没看电影的人先不要看剧透，不让会毁了电影！！ 看完后，有短暂心脏停止跳动的感觉. 我该去看医生了
,重新上映一个3D版我一定再去看一次～
,神作！结尾的悬念留得真好！看完电影出来我都不知道自己是活在现实还是梦里了！
,卡梅隆负责革新电影技术，诺兰负责革新电影结构... 
,有种人创造商业片的新叙事结构
,"Christopher Nolan
套层故事的极致。
再看一遍
first DMAX.SHOCK!"
,看懂了，虽然有点压抑。。。但是是一种不同的享受~不要活在梦里，不管是第几层。也许你可以，所以现实是强大的，它甚至包含了梦。
,看这部片子让我感慨良多，感慨我好像已经过了爱动脑筋的年纪
,"女人觉得只要和爱人在一起，就算困在天涯海角世界尽头都不要紧，但是男的比她想要得更多，他决计不肯孤零零地做一个无人观赏的创世者，一定会大吼大叫甚至不择手段的把女人拉回现实！
VS 花  @三里屯美嘉"
,故事讲得好
,第五颗星，给去电影院看出来的效果
,好像逐渐停下来了。
,费脑子的片子。个人觉得这些梦境都太清楚了，我的梦视点不断在转换，有时自己在场，有时不在。这些是无法用摄影机来捕捉的。
,没怎么看懂，为什么要到富二代下第四层，最后2个2B怎么怎么回来的？
,今年最好电影。没有之一。Nolan导演叔叔！！！！！！！你就是个梦想家！！！！！！！！！！！你就是个颠覆者！！！！！！！！！牛逼！！！！！！！！！！！！！！！！全电影院的人都跟着你的设计一愣一愣地笑叫担心恐惧！！！！！！并且所有人出来都是一个反应“我现在不是在做梦吧？”
,梦一样的电影，其他都是尘埃
,太具有想象力了
,為你沉澱　逾越了理性　超過自然　瞞住了上帝 讓你到身邊　即使愛你愛到你變成碎片　仍有我接應你落地上天 如你化作了粉末　誰還要健全 來沉沒在我的深處吧 埋在愛情下　世界快要變作碎花
,我很可耻的在IMAX厅正中间睡着了。。。。。。
,2020.9.11 看第七遍了，结尾还是心潮澎湃。I&#39;m asking you to take a leap of faith.
,太~刺激了
,很是佩服编剧的大胆的想象和别具一格的思维
,写本片影评的人都是神经病。
,既然是做梦，那就做大一点的。
,“在你的世界里，只有我是真实的”
,无比强大的坑 喜欢这种需要思考的坑
,我有幸观此片。却无幸放大自己的梦。
,好牛哦，在下线前一天去影院看了一盘，差点就跟不上时代的节奏了。其实全是我超爱或者很欣赏的演员，电影也很精彩。
,时空相对论解法
,无话可说！太好了
,梦的解析+空间结构，值得再去看遍
,电影院看了两次xD
,老实说，在电影院看它我喝掉了一瓶嘉士伯及一瓶雪花。加起来要8.5°~以至于结尾时我想上厕所..却定要听完最后的片尾曲才去..等得急不可耐.看完尿完走在凌晨的小路上.仍感觉像场梦~
,"一部成功的商业大片。虽然没有Matrix第一部那么的颠覆。如果说本片是悬疑片，我觉得真的算不上，虽然看懂剧情需要一点儿逻辑思维，但是基本上可以猜到结局。
人生如梦，如光，如电。
我有亲身体会，我们在梦境里的时间的确要比现实中长的多。
梦里的理想国，现实的理想国，其实都不存在。"
,"【宁/ 秀】什么是“电影”？这才叫做是“电影”！
"
,给6星了都    
,来。。我们再看一遍。
,看完脑仁想的痛，但痛的很愉快，毕竟现在已经没什么片子还能让人思考到脑仁儿痛了。
,之前我一度觉得诺兰会失手，因为一个导演一直保持这么好的状态让人觉得不可思议，但诺兰就是这么不可思议，他再次让我震惊，让人们看到了电影的魅力。
,Best movie of the year. a MUST see.
,电影院首映
,超前的想象力
,没看懂的片子，能不给5个星么？反正做好了再去看几遍的打算。。。不过，对于这种唬人唬得神乎其技的片子，还真是既佩服又无奈。
,神马叫做高智商! 瞅瞅人家!
,诺兰展现了惊人的智慧和创造力，构建出一套设置复杂却条理清晰的奇幻梦境，现实与梦中的多层空间，不得不说这很有意思。虽是概念先行，但也少不了大制作的动作场面和视觉奇观，精巧的故事结构和丰富的商业元素出色融合。阴魂不散亡妻的乱入有些烦人，但自圆其说的故事也添加了点人情味。
,诺兰已经成为现今世界当之无愧的NO.1
,"攝影師Wally Pfister稱，華納公司曾希望Nolan把《Inception》拍成3D。但Nolan一口拒絶了，因為那會「干擾觀眾欣賞Inception的故事」。 
另：倘若视效展现成份与心理戏成份的比例再减少些就好了。"
,有没有10星啊？
,看不懂梦境构建的规则和逻辑的话，就只是“魂斗罗梦游记”而已T T
,属于我的那个陀螺你不停的转吧，千万不要停下来也不要让我发现！
,费牛劲了
,终于看了╯_╰
,2010.09.xx
,各方面都很精彩，唯物主义与唯心主义没有对或错，只是不要太过相信任何其一，物极必反，还有不要试图给别人强加思想价值。学校居然组织我们看，这也算是大学的美好回忆吧
,反正当时的理解水平 我是没怎么看懂的 就觉得很奇妙的设想 还有小李子真是太帅了
,梦中梦！
,哈!哈!哈!哈!!
,现实与虚幻的距离有多远.片中的梦境有时候又如此的真实.我喜欢电影中的一对白.&#34;他们不是为做梦.现实又何尝不是一种梦呢&#39;一重重的梦中梦.时间与空间上的交替.让我们很容易迷失在自己的梦中.回想起来自己已经好久没有做过梦了.一天天的忙碌让我们都没时间为自己造一个梦境.
,看了很久了，还是来评个分，不错，哈哈，看的过程中总是在算，第几层了？
,大逻辑错了，细节怎么弄也不能变成一个对的故事……是不是我太较真？
,NOLAN的野心不小，耐心欠缺
,梦中的、梦中的、梦，在电影院里一度怀疑自己是不是在梦中= = Nolan是天马行空的思想家&gt;.&lt;！ 我也想要去一些人的梦中植入想法啊TAT “字幕全部结束之后，有一个2秒的音效，陀螺倒下了，结局不是开放的！”
,"You know I love mindbenders, but this, THIS!! (and they played EDITH PIAF as a wake up tune, and they cast LUCAS HAAS as the third guy)."
,柯布和他老婆造的梦境就是中国人的梦境吧，有那么多房子可住，既可以住这个又可以住那个
,MY douban NO.1234部电影 神般的诺兰 神般的非线性结构 如此观影体验 任何一位其他导演均不可复制 解读本片的关键在于找到柯布的图腾
,神作！！！一无话可说了，暂时是这辈子在电影院里看过最棒的商业电影。
,我一个人去看的 
,地球人都知道。
,"看了就给五星就好了。。还解释啥。。。
PS：小李最后大概还是掉进了六道轮回"
,值得去电影院收获一次视听盛宴以及困惑之感，然后请适可而止，这只是个奠基。
,"结局看得有点儿迷糊。那是第五层梦境吗？
编剧是受了李商隐“庄生晓梦迷蝴蝶”的启发吗？"
,人就是一个想法
,在电影院看到落泪
,确实是最近今年来影院播放水平很高的一部电影了。但是也想夸张到可以9.4分吧！不过巨星云集啊！
,没有黑暗骑士那么神
,名不虚传
,Nolan的电影在构筑逻辑的同时第一次具有这么强大的情感触动，太能想了～
,神作！！！！Nolan永远不会让我们失望！！！！
,应该承认这是一部成功的结合了各种商业片优秀元素的电影，好导演、好演员、好故事、想象力、爱情、悬疑、枪战等等，但唯独没有思想深度，这一点甚至比不了蝙蝠侠6；因此经过慎重考虑选4星，同时也再次证明，无论什么事情，期望越高，失望越大
,诺神完胜卡神
,"诺兰满赛!!年度佳片!!结构严谨,主题精妙,同时又顾及到了商业性,枪车特效美女帅哥一应俱全;需要思考,但也不用一般老百姓在电影院想破头皮,故事铺垫十分到位;最后,经典的悬念结尾,让这颗陀螺在影迷心中永远转下去!"
,"三星半.视觉不能和2012比,内涵不能和黑客帝国比.豆瓣为啥分那么高?"
,梦境如此真实让人幸福，为什么不留在梦里呢……这电影把我往精分路上又推了一把诶
,"0 0
哪有傳説中的那麽複雜啊...
多簡單易懂的一故事~好看!!!"
,电影院的效果还是不错的。我只进入过第二层~
,我入戏了。出不来。能不能给十颗星？哈哈。要再看一次
,点子是个好点子  如何自然的讲好故事又是另外一回事了 
,看得我心烦意乱啊....
,音效不错而已
,可看过了~挺过瘾的虽然很多情节都猜得到比如开头
,2010.11.1
江苏,以前看过  很烧脑 有点没懂，  不过节奏太棒了
北京,第一次看完和同事讨论了一个礼拜😂😂😂
广东,打开了我的新世界，这才是烧脑大片，精彩极了，各方面视角感官享受。
北京,二刷。诺兰代表作之一。即使剧情略有些烧脑，但仍然是一部牛逼闪闪的商业片。发现所有相同题材的电影都在探讨相同的话题：不要沉迷于过去，要永于面对现在的自己。
江西,里面的梦境 时间概念很有意思。
河南,玛雅需要看好多遍
浙江,一开始没看懂，看懂之后真心好看
福建,这次不会再是背影了
山东,佩服外国人的思维与想象
浙江,本人暂时还没发现我现在所处的世界的破绽！
广东,看了好多次
四川,造梦师，筑梦师，药剂师，伪装者
山东,很梦幻的一部电影，我刷了几次才看明白，演员演的挺不错的
江西,从盗墓空间入坑科幻片
广东,先是在班里看的 今天回家看了完整版 great imagination
江苏,看不懂
山东,无聊，不知道在干嘛，可能我看不懂吧
湖北,很好看 里面的男生都很帅谁懂TT 就是男主恋爱脑的时候有点急
山东,我永远记不起梦的开端
北京,我不喜欢。
江苏,至少电影中梦与现实还能依靠陀螺来分辨，而我们的真实世界又怎么不是黄粱一梦呢？
浙江,我觉得你很好但是最后一颗星我只打给自己的主观意愿，剧情，逻辑，演技等等都很不错但是我觉得并没有到达令我惊艳的程度。可能是因为作为后来人看一部十年前的电影都缘故，也可能看这部电影的时候我的脑子只留给了加速度和重力的计算
湖北,好看，但是没有传闻的那么神。
湖南,梦中梦 多重梦 剧情是很新颖的 电影最后的陀螺留下了悬念
重庆,看完后不自觉想起本科一位古代文学老师在课堂上谈及诺兰、电影、中国电影时说的话。大意是：我们的电影远远落……我们还只是停留在叙事，有时甚至都没有叙好事，所以我们只满足于讲好一个故事。我记得那时是2014（2015）年，距今9年（8）年，仍然适用。
韩国," 9.5/10 打破梦境的定义, 瓦解现实与梦境的界限, 重筑梦境的规则。 究竟身处第几层梦境? 或者现在梦境亦或现实? 一个饱含创意与想象的故事, 通过电影这一格式, 借助强大的技术团队, 成功营造了一趟惊险刺激, 又如真似幻的冒险。 导演对于实拍的坚持, 更是为这部杰作披上一件防腐外衣, 让这部作品数十年后依旧完美迷人。 "
北京,很精彩，很好看！
湖南,虽然前面有点难入戏，但是剧情真的好精彩！就算是已经被剧透了70%也觉得很精彩（。）很喜欢几个梦失重的安排
浙江,有生之年一定会二刷的电影！
陕西,大学的时候看过这部电影 一起一直想看来着 第一遍 看的时候 看不懂 不知道在讲什么 它是需要多看几遍的电影 应该打五分 打四分是自己的理解能力不够 等我有时间了 再看一遍 
