电影名称,上映年份,导演,电影类型,制片国家/地区,片长,评分,评价人数
白蛇：缘起,2019,黄家康,爱情动画,中国大陆 / 美国,99分钟,7.8,741244
中国机长,2019,刘伟强,剧情传记,中国大陆,111分钟,6.6,724588
蜘蛛侠：英雄远征 Spider-Man: Far from Home,2019,乔·沃茨,动作科幻,美国,127分钟,7.6,584017
疯狂的外星人,2019,宁浩,喜剧科幻,中国大陆,116分钟,6.4,678893
惊奇队长 Captain Marvel,2019,安娜·波顿,动作科幻,美国 / 澳大利亚,124分钟,6.8,494152
利刃出鞘 Knives Out,2019,莱恩·约翰逊,剧情喜剧,美国,130分钟,8.1,805740
罗小黑战记,2019,木头,动作动画,中国大陆,101分钟,8.0,514392
狮子王 The Lion King,2019,乔恩·费儒,剧情动画,美国,118分钟,7.2,351843
冰雪奇缘2 Frozen II,2019,克里斯·巴克,喜剧动画,美国,103分钟,7.0,377907
我不是药神,2018,文牧野,剧情喜剧,中国大陆,117分钟,9.0,2063212
寻梦环游记 Coco,2017,李·昂克里奇,喜剧动画,美国,105分钟,9.1,1640946
星际穿越 Interstellar,2014,克里斯托弗·诺兰,剧情科幻,美国 / 英国 / 加拿大,169分钟,9.4,1794805
你的名字。 君の名は。,2016,新海诚,剧情爱情,日本,106分钟,8.5,1382658
绿皮书 Green Book,2018,彼得·法雷里,剧情喜剧,美国 / 中国大陆,130分钟,8.9,1616746
怦然心动 Flipped,2010,罗伯·莱纳,剧情喜剧,美国,90分钟,9.1,1802990
让子弹飞,2010,姜文,剧情喜剧,中国大陆 / 中国香港,132分钟,9.0,1669635
盗梦空间 Inception,2010,克里斯托弗·诺兰,剧情科幻,美国 / 英国,148分钟,9.4,2028046
釜山行 부산행,2016,延尚昊,动作惊悚,韩国,118分钟,8.6,1178206
头号玩家 Ready Player One,2018,史蒂文·斯皮尔伯格,动作科幻,美国,140分钟,8.7,1346020
夏洛特烦恼,2015,闫非,喜剧爱情,中国大陆,104分钟,7.8,960696
触不可及 Intouchables,2011,奥利维埃·纳卡什,剧情喜剧,法国,112分钟,9.3,1091514
超能陆战队 Big Hero 6,2014,唐·霍尔,喜剧动作,美国,102分钟,8.7,993792
