1287013,油麦菜,1186,蔬菜,,,0.8,1.2,1.0,冀,,斤,2022-05-31 00:00:00,,138,,admin,,,
1287012,散菜花,1186,蔬菜,,,1.5,2.0,1.75,陕,泡沫箱,斤,2022-05-31 00:00:00,,138,,admin,,,
1287011,散菜花,1186,蔬菜,,,0.8,1.2,1.0,冀,袋装,斤,2022-05-31 00:00:00,,138,,admin,,,
1287010,绿菜花,1186,蔬菜,,,1.0,1.8,1.4,苏豫冀,,斤,2022-05-31 00:00:00,,138,,admin,,,
1287009,绿豆芽,1186,蔬菜,,,0.95,1.0,0.98,,,斤,2022-05-31 00:00:00,,138,,admin,,,
1287008,黄豆芽,1186,蔬菜,,,0.85,0.9,0.88,,,斤,2022-05-31 00:00:00,,138,,admin,,,
1287007,番茄,1186,蔬菜,,,1.2,1.8,1.5,蒙冀,黑框,斤,2022-05-31 00:00:00,,138,,admin,,,
1287006,番茄,1186,蔬菜,,,1.8,2.4,2.1,冀,纸箱,斤,2022-05-31 00:00:00,,138,,admin,,,
1287005,番茄,1186,蔬菜,,,2.2,2.6,2.4,冀,白框,斤,2022-05-31 00:00:00,,138,,admin,,,
1287004,黄瓜,1186,蔬菜,,,0.6,0.9,0.75,鲁辽,袋\箱,斤,2022-05-31 00:00:00,,138,,admin,,,
1287003,黄瓜,1186,蔬菜,,,0.8,1.0,0.9,冀,鲜干花,斤,2022-05-31 00:00:00,,138,,admin,,,
1287002,小黄瓜,1186,蔬菜,,,2.1,3.2,2.65,辽鲁,旱\荷兰,斤,2022-05-31 00:00:00,,138,,admin,,,
1287001,茄子,1186,蔬菜,,,0.8,1.5,1.15,鲁冀,,斤,2022-05-31 00:00:00,,138,,admin,,,
1287000,长茄,1186,蔬菜,,,0.8,1.5,1.15,冀辽,,斤,2022-05-31 00:00:00,,138,,admin,,,
1286999,广茄,1186,蔬菜,,,2.0,2.8,2.4,云,,斤,2022-05-31 00:00:00,,138,,admin,,,
1286998,线茄,1186,蔬菜,,,1.2,2.4,1.8,冀京,,斤,2022-05-31 00:00:00,,138,,admin,,,
1286997,冬瓜,1186,蔬菜,,,0.9,1.1,1.0,桂,吊,斤,2022-05-31 00:00:00,,138,,admin,,,
1286996,冬瓜,1186,蔬菜,,,0.5,0.7,0.6,桂,地,斤,2022-05-31 00:00:00,,138,,admin,,,
