Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
search URL:,https://patents.google.com/?q=%28%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD%29&assignee=%E5%8C%97%E4%BA%AC%E7%99%BE%E5%BA%A6%E7%BD%91%E8%AE%AF%E7%A7%91%E6%8A%80%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8&oq=%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD,,,,,,,,
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
CN-106503192-B,基于人工智能的命名实体识别方法及装置 ,北京百度网讯科技有限公司,"胡腾, 孙叔琦, 郭伟东, 刘兵, 孙珂",2016-10-31,2016-10-31,2019-10-15,2019-10-15,https://patents.google.com/patent/CN106503192B/zh,https://patentimages.storage.googleapis.com/2d/57/eb/ec2c66209e5f3d/HDA0001138069240000011.png
CN-106650943-B,基于人工智能的辅助写作方法和装置 ,北京百度网讯科技有限公司,"陈亮宇, 刘昊, 芮伟康, 肖欣延, 吕雅娟",2016-10-28,2016-10-28,2020-09-25,2020-09-25,https://patents.google.com/patent/CN106650943B/zh,https://patentimages.storage.googleapis.com/ac/5c/8f/5c52add95c98ed/HDA0001146269770000011.png
CN-107491432-B,基于人工智能的低质量文章识别方法及装置、设备及介质 ,北京百度网讯科技有限公司,"乔超, 黄波, 李大任, 佘俏俏",2017-06-20,2017-06-20,2022-01-28,2022-01-28,https://patents.google.com/patent/CN107491432B/zh,https://patentimages.storage.googleapis.com/10/59/91/7cb98e2d73a988/HDA0001326728810000011.png
CN-108170749-B,基于人工智能的对话方法、装置及计算机可读介质 ,北京百度网讯科技有限公司,"徐新超, 刘占一, 吴文权",2017-12-21,2017-12-21,2021-06-11,2021-06-11,https://patents.google.com/patent/CN108170749B/zh,https://patentimages.storage.googleapis.com/f8/3d/74/13b6a8f96e03cd/HDA0001517526090000011.png
CN-107832299-B,基于人工智能的标题的改写处理方法、装置及可读介质 ,北京百度网讯科技有限公司,"陈笑, 何径舟, 周古月, 付志宏, 袁德璋",2017-11-17,2017-11-17,2021-11-23,2021-11-23,https://patents.google.com/patent/CN107832299B/zh,https://patentimages.storage.googleapis.com/1e/ea/0b/7bb9b9418b75d9/HDA0001472849640000011.png
CN-107220232-B,基于人工智能的关键词提取方法及装置、设备与可读介质 ,北京百度网讯科技有限公司,"连荣忠, 陈泽裕, 姜迪, 蒋佳军, 何径舟",2017-04-06,2017-04-06,2021-06-11,2021-06-11,https://patents.google.com/patent/CN107220232B/zh,https://patentimages.storage.googleapis.com/97/32/62/6deca4201ef0de/HDA0001263714950000011.png
CN-107463704-B,基于人工智能的搜索方法和装置 ,北京百度网讯科技有限公司,"周坤胜, 冯仕堃, 朱志凡, 何径舟",2017-08-16,2017-08-16,2021-05-07,2021-05-07,https://patents.google.com/patent/CN107463704B/zh,https://patentimages.storage.googleapis.com/74/69/95/d6ab2f4786948b/HDA0001380270990000011.png
CN-105653738-B,基于人工智能的搜索结果播报方法和装置 ,北京百度网讯科技有限公司,"刘凯, 冯洋, 杨钦, 吕雅娟",2016-03-01,2016-03-01,2020-05-22,2020-05-22,https://patents.google.com/patent/CN105653738B/zh,https://patentimages.storage.googleapis.com/77/eb/5a/bf409c9ca7ee84/HDA0000932732500000011.png
CN-108052659-B,基于人工智能的搜索方法、装置和电子设备 ,北京百度网讯科技有限公司,"朱勇, 宋勋超, 李莹, 张一麟",2017-12-28,2017-12-28,2022-03-11,2022-03-11,https://patents.google.com/patent/CN108052659B/zh,https://patentimages.storage.googleapis.com/fc/02/ae/a8ab7bfb131b96/HDA0001530871840000011.png
CN-107491547-B,基于人工智能的搜索方法和装置 ,北京百度网讯科技有限公司,"李宇琨, 刘毅, 孙宇, 于佃海",2017-08-28,2017-08-28,2020-11-10,2020-11-10,https://patents.google.com/patent/CN107491547B/zh,https://patentimages.storage.googleapis.com/32/be/28/b24a5d150c9258/HDA0001390687420000011.png
